date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:58	48334/48334	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202018%2012:24:26%20GMT	https://themeim.com/demo/cryptotrade/cryptotrade/index.html	/Users/abdulrahman/Downloads/crypto-website/themeim.com/demo/cryptotrade/cryptotrade/index.html	(from )
21:07:00	31/31	---M--	200	added ('OK')	text/plain	date:Sun,%2005%20Feb%202023%2007:00:03%20GMT	https://themeim.com/robots.txt		(from )
21:07:00	84119/84119	---M-Z	200	added ('OK')	text/css	date:Sun,%2011%20Feb%202018%2013:03:30%20GMT	https://themeim.com/demo/cryptotrade/cryptotrade/css/style.css	/Users/abdulrahman/Downloads/crypto-website/themeim.com/demo/cryptotrade/cryptotrade/css/style.css	(from https://themeim.com/demo/cryptotrade/cryptotrade/index.html)
21:07:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jun%202024%2018:07:28%20GMT	https://themeim.com/demo/cryptotrade/cryptotrade/.chart-popup-content	/Users/abdulrahman/Downloads/crypto-website/themeim.com/demo/cryptotrade/cryptotrade/.chart-popup-content	(from https://themeim.com/demo/cryptotrade/cryptotrade/index.html)
21:07:20	493/493	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Jan%202018%2000:55:22%20GMT	https://themeim.com/demo/cryptotrade/cryptotrade/images/header-top-icon.png	/Users/abdulrahman/Downloads/crypto-website/themeim.com/demo/cryptotrade/cryptotrade/images/header-top-icon.png	(from https://themeim.com/demo/cryptotrade/cryptotrade/index.html)
21:07:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jun%202024%2018:07:33%20GMT	https://themeim.com/demo/cryptotrade/cryptotrade/sign-up.html	/Users/abdulrahman/Downloads/crypto-website/themeim.com/demo/cryptotrade/cryptotrade/sign-up.4.delayed	(from https://themeim.com/demo/cryptotrade/cryptotrade/index.html)
21:07:25	24167/24167	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Jan%202018%2007:31:02%20GMT	https://themeim.com/demo/cryptotrade/cryptotrade/images/logo.png	/Users/abdulrahman/Downloads/crypto-website/themeim.com/demo/cryptotrade/cryptotrade/images/logo.png	(from https://themeim.com/demo/cryptotrade/cryptotrade/index.html)
21:07:26	19573/19573	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202018%2008:46:10%20GMT	https://themeim.com/demo/cryptotrade/cryptotrade/index-2.html	/Users/abdulrahman/Downloads/crypto-website/themeim.com/demo/cryptotrade/cryptotrade/index-2.html	(from https://themeim.com/demo/cryptotrade/cryptotrade/index.html)
21:07:27	48074/48074	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202018%2006:54:12%20GMT	https://themeim.com/demo/cryptotrade/cryptotrade/index-3.html	/Users/abdulrahman/Downloads/crypto-website/themeim.com/demo/cryptotrade/cryptotrade/index-3.html	(from https://themeim.com/demo/cryptotrade/cryptotrade/index.html)
21:07:27	18005/18005	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Feb%202018%2009:21:28%20GMT	https://themeim.com/demo/cryptotrade/cryptotrade/about.html	/Users/abdulrahman/Downloads/crypto-website/themeim.com/demo/cryptotrade/cryptotrade/about.html	(from https://themeim.com/demo/cryptotrade/cryptotrade/index.html)
